event_time,new_order_ids,completed_ids,locked_ids,pending_count,reoptimized_order_count,frozen_future_order_count,warm_start_count,population_size,max_generations,actual_generations,elapsed_seconds,time_budget_hit,early_stop_triggered,fallback_used,fallback_level,best_fitness,final_A_count,final_B_count,final_C_count,unserved_order_ids
1993.4,,,,12,8,4,12,30,60,0,32.448864698410034,True,False,False,none,33565.43031593939,11,1,0,
1994.4,,,,12,8,4,12,30,60,1,43.05575966835022,True,False,False,none,33605.43031593939,11,1,0,
2049.4,,,,13,8,5,12,30,60,0,39.96743321418762,True,False,False,none,43646.3935775832,12,1,0,
2048.4,,,,13,8,5,11,30,60,1,53.27575874328613,True,False,False,none,43596.3935775832,12,1,0,
600.0,ORD-DYN-TEST-01,,,10,9,2,16,30,60,0,5.027941942214966,True,False,False,none,715.8035562728492,6,3,2,
120.9,,,,11,8,3,12,30,60,0,10.121395826339722,True,False,False,none,-105.16306100617703,5,6,0,
210.9,,,,11,8,3,12,30,60,0,21.355921030044556,True,False,False,none,8904.953081787158,9,2,0,
450.9,,,,10,8,2,11,30,60,0,20.374829053878784,True,False,False,none,3758.6630838153224,9,0,1,
570.9,,,,9,8,1,11,30,60,0,21.55969262123108,True,False,False,none,2771.9699095072065,6,3,0,
870.9,,,,8,8,0,12,30,60,0,15.304672956466675,True,False,False,none,2261.7920401558194,6,2,0,
930.9,,,,9,8,1,11,30,60,0,14.969263553619385,True,False,False,none,2272.213424537311,7,2,0,
1140.9,,,,10,8,2,12,30,60,0,26.546894788742065,True,False,False,none,1738.7198212507933,7,2,1,
1290.9,,,,9,8,1,12,30,60,0,19.627769470214844,True,False,False,none,1597.4507449663947,4,5,0,
1560.9,,,,8,8,0,11,30,60,0,19.466122150421143,True,False,False,none,159.00234894721916,3,5,0,
1740.9,,,,8,8,0,12,30,60,0,22.070274829864502,True,False,False,none,3201.8641882888473,3,4,1,
1781.9,,,,8,8,0,12,30,60,0,23.573980808258057,True,False,False,none,6796.367226056775,5,2,1,
1838.9,,,,7,7,0,12,30,60,0,22.513556241989136,True,False,False,none,3843.8574034901308,5,2,0,
1956.9,,,,8,8,0,12,30,60,0,24.907796621322632,True,False,False,none,3053.0208561961886,6,2,0,
1993.9,,,,9,8,1,12,30,60,0,19.338539838790894,True,False,False,none,5199.9635985658815,6,2,1,
2048.9,,,,9,8,1,12,30,60,0,17.14390540122986,True,False,False,none,4447.186983886383,7,2,0,
2091.9,,,,10,8,2,12,30,60,0,20.648046493530273,True,False,False,none,9673.439156650033,9,1,0,
2194.9,,,,10,8,2,11,30,60,0,19.508867979049683,True,False,False,none,12992.707434139566,9,1,0,
2232.9,,,,10,8,2,12,30,60,0,18.25579309463501,True,False,False,none,5283.350636088839,8,1,1,
2269.9,,,,10,8,2,12,30,60,0,20.718096494674683,True,False,False,none,9363.029624680517,9,1,0,
